typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","60","BMU","Bermuda","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","57588","53570","57588","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","64","BTN","Bhutan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","172710","163986","172710","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3706080","3706080","3706080","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","70","BIH","Bosnia Herzegovina","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","158823784","154487532","158823784","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","72","BWA","Botswana","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1891799","1772869","1891799","0","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","74","BVT","Bouvet Island","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","512","470","512","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","254266615","235780936","254266615","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","84","BLZ","Belize","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2927313","2719429","2927313","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","86","IOT","Br. Indian Ocean Terr.","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","86907","80733","86907","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","90","SLB","Solomon Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","46025","42299","46025","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","92","VGB","Br. Virgin Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","987259","914487","987259","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","96","BRN","Brunei Darussalam","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","30179","28144","30179","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","100","BGR","Bulgaria","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1321531425","1287728600","1321531425","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","104","MMR","Myanmar","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","139369275","131620425","139369275","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","108","BDI","Burundi","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","51523","47866","51523","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","112","BLR","Belarus","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","124603325","118333976","124603325","4","false","true",
"C","A","20240101","2024","52","2024","203","CZE","Czechia","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","334813551","316456184","334813551","4","false","true",
